Date,Warehouse_Location,Material_ID,Material_Name,Category,Supplier_Name,Forecasted_Demand,Actual_Consumption,Safety_Stock,Reorder_Level,Current_Stock,Lead_Time_Days,Unit_Cost,Inventory_Value (PKR),Reorder_Flag
10/24/2024,Islamabad East,M0008,Material_100,Packaging,Delta Supplies,233,212,56,106,193,3,23.14,4466.02,No
12/08/2024,Lahore South,M0100,Material_056,Semi-Finished,Gamma Traders,266,208,89,153,157,10,81.76,12836.32,No
12/09/2024,Lahore South,M0094,Material_084,Semi-Finished,Gamma Traders,145,172,76,104,193,10,88.99,17175.07,No
12/25/2024,Faisalabad Hub,M0087,Material_082,Packaging,Beta Corp,210,188,52,113,98,2,79.18,7759.64,Yes
10/11/2024,Lahore South,M0042,Material_057,Semi-Finished,Delta Supplies,222,202,58,109,22,7,112.46,2474.12,Yes
10/16/2024,Karachi Central,M0044,Material_021,Raw Material,Alpha Ltd,213,223,69,121,93,11,63.73,5926.89,Yes
12/12/2024,Karachi Central,M0014,Material_068,Semi-Finished,Alpha Ltd,197,143,84,106,209,9,142.3,29740.7,No
11/28/2024,Islamabad East,M0078,Material_050,Semi-Finished,Gamma Traders,67,91,57,106,69,4,77.45,5344.05,Yes
12/09/2024,Karachi Central,M0002,Material_033,Finished Good,Beta Corp,87,104,53,122,0,12,89.97,0.0,Yes
12/19/2024,Faisalabad Hub,M0037,Material_091,Finished Good,Beta Corp,244,262,75,106,0,10,125.57,0.0,Yes
10/03/2024,Karachi Central,M0069,Material_007,Raw Material,Alpha Ltd,200,159,75,123,117,3,48.53,5678.01,Yes
10/20/2024,Karachi Central,M0038,Material_070,Raw Material,Delta Supplies,273,264,59,81,138,7,20.53,2833.14,No
11/28/2024,Faisalabad Hub,M0041,Material_015,Finished Good,Delta Supplies,158,121,91,136,4,2,109.09,436.36,Yes
11/05/2024,Lahore South,M0062,Material_082,Packaging,Alpha Ltd,172,134,58,134,149,14,77.62,11565.38,No
10/19/2024,Lahore South,M0060,Material_032,Finished Good,Alpha Ltd,193,155,84,133,20,8,135.51,2710.2,Yes
12/29/2024,Faisalabad Hub,M0014,Material_075,Raw Material,Beta Corp,236,207,83,111,141,4,147.58,20808.78,No
12/06/2024,Islamabad East,M0089,Material_020,Semi-Finished,Delta Supplies,246,260,46,91,45,8,65.88,2964.6,Yes
10/19/2024,Karachi Central,M0084,Material_088,Finished Good,Alpha Ltd,245,271,96,117,66,5,68.16,4498.56,Yes
10/20/2024,Faisalabad Hub,M0002,Material_015,Finished Good,Alpha Ltd,198,189,83,105,44,10,67.11,2952.84,Yes
12/10/2024,Karachi Central,M0070,Material_048,Raw Material,Gamma Traders,153,158,92,157,306,6,55.44,16964.64,No
11/21/2024,Islamabad East,M0017,Material_071,Semi-Finished,Alpha Ltd,292,325,43,66,0,4,119.44,0.0,Yes
11/02/2024,Karachi Central,M0089,Material_021,Packaging,Alpha Ltd,255,217,98,142,64,9,116.26,7440.64,Yes
11/09/2024,Faisalabad Hub,M0028,Material_042,Raw Material,Delta Supplies,280,318,73,143,168,7,77.01,12937.68,No
11/08/2024,Karachi Central,M0066,Material_026,Semi-Finished,Beta Corp,272,251,41,73,18,3,16.25,292.5,Yes
12/21/2024,Lahore South,M0035,Material_014,Semi-Finished,Delta Supplies,255,249,44,102,54,4,53.34,2880.36,Yes
10/01/2024,Islamabad East,M0005,Material_057,Finished Good,Beta Corp,247,211,94,157,230,9,50.92,11711.6,No
10/11/2024,Islamabad East,M0065,Material_037,Packaging,Gamma Traders,189,132,49,103,0,11,123.55,0.0,Yes
11/26/2024,Islamabad East,M0040,Material_058,Raw Material,Alpha Ltd,193,146,71,145,116,8,22.26,2582.16,Yes
12/28/2024,Faisalabad Hub,M0076,Material_021,Raw Material,Gamma Traders,130,75,81,123,208,11,122.79,25540.32,No
11/19/2024,Islamabad East,M0056,Material_082,Packaging,Beta Corp,286,266,80,108,73,7,103.69,7569.37,Yes
10/23/2024,Lahore South,M0036,Material_069,Raw Material,Delta Supplies,136,145,52,73,85,2,112.54,9565.9,No
10/31/2024,Faisalabad Hub,M0045,Material_003,Semi-Finished,Delta Supplies,191,138,78,151,226,10,70.51,15935.26,No
11/11/2024,Lahore South,M0023,Material_087,Raw Material,Gamma Traders,110,138,44,104,183,4,105.16,19244.28,No
10/07/2024,Karachi Central,M0047,Material_090,Finished Good,Beta Corp,248,288,97,160,191,6,95.26,18194.66,No
10/16/2024,Karachi Central,M0031,Material_037,Finished Good,Gamma Traders,95,102,49,99,197,8,117.66,23179.02,No
12/29/2024,Karachi Central,M0011,Material_088,Semi-Finished,Gamma Traders,81,60,49,112,171,8,72.55,12406.05,No
11/29/2024,Karachi Central,M0010,Material_049,Finished Good,Alpha Ltd,64,26,77,143,136,4,76.2,10363.2,Yes
10/02/2024,Lahore South,M0067,Material_019,Semi-Finished,Gamma Traders,93,56,66,87,32,5,100.1,3203.2,Yes
10/01/2024,Faisalabad Hub,M0014,Material_089,Packaging,Alpha Ltd,194,142,99,150,243,11,25.13,6106.59,No
11/17/2024,Faisalabad Hub,M0080,Material_085,Raw Material,Alpha Ltd,218,161,90,127,62,8,71.07,4406.34,Yes
10/12/2024,Islamabad East,M0074,Material_012,Packaging,Delta Supplies,103,62,60,92,125,9,146.07,18258.75,No
12/08/2024,Lahore South,M0093,Material_061,Packaging,Alpha Ltd,288,258,47,112,82,3,15.26,1251.32,Yes
11/06/2024,Karachi Central,M0010,Material_041,Finished Good,Alpha Ltd,93,41,40,64,5,10,54.24,271.2,Yes
11/01/2024,Lahore South,M0076,Material_033,Packaging,Delta Supplies,147,157,67,144,63,8,53.98,3400.74,Yes
10/09/2024,Islamabad East,M0094,Material_050,Finished Good,Gamma Traders,54,31,88,149,131,14,98.68,12927.08,Yes
10/19/2024,Islamabad East,M0001,Material_068,Semi-Finished,Beta Corp,158,174,78,141,269,9,24.81,6673.89,No
11/17/2024,Lahore South,M0005,Material_071,Raw Material,Beta Corp,76,79,53,82,68,7,98.0,6664.0,Yes
12/19/2024,Lahore South,M0020,Material_086,Finished Good,Beta Corp,165,192,60,135,171,7,23.31,3986.01,No
10/03/2024,Lahore South,M0008,Material_033,Packaging,Gamma Traders,136,169,69,131,201,10,23.29,4681.29,No
10/20/2024,Faisalabad Hub,M0043,Material_081,Raw Material,Alpha Ltd,153,103,60,104,0,5,111.95,0.0,Yes
10/24/2024,Karachi Central,M0076,Material_024,Semi-Finished,Beta Corp,172,159,88,141,268,12,55.38,14841.84,No
11/23/2024,Lahore South,M0001,Material_061,Raw Material,Gamma Traders,255,294,48,104,145,12,146.84,21291.8,No
11/02/2024,Lahore South,M0057,Material_061,Semi-Finished,Alpha Ltd,128,88,56,105,0,6,15.23,0.0,Yes
10/24/2024,Lahore South,M0064,Material_098,Packaging,Delta Supplies,92,55,44,70,195,10,72.31,14100.45,No
12/14/2024,Islamabad East,M0084,Material_028,Packaging,Beta Corp,146,98,97,122,150,2,25.84,3876.0,No
12/11/2024,Islamabad East,M0028,Material_058,Finished Good,Alpha Ltd,294,279,96,169,57,5,59.19,3373.83,Yes
11/05/2024,Faisalabad Hub,M0037,Material_043,Packaging,Beta Corp,80,27,70,144,286,8,149.75,42828.5,No
11/07/2024,Karachi Central,M0047,Material_041,Raw Material,Beta Corp,148,96,91,113,140,12,134.44,18821.6,No
12/23/2024,Faisalabad Hub,M0076,Material_039,Packaging,Beta Corp,66,23,79,111,122,10,16.77,2045.94,No
12/28/2024,Karachi Central,M0037,Material_086,Finished Good,Alpha Ltd,269,225,77,99,52,14,88.86,4620.72,Yes
10/25/2024,Islamabad East,M0049,Material_049,Raw Material,Gamma Traders,132,112,82,127,137,12,100.7,13795.9,No
10/18/2024,Islamabad East,M0044,Material_017,Raw Material,Alpha Ltd,159,178,58,134,270,13,39.33,10619.1,No
12/21/2024,Islamabad East,M0056,Material_098,Raw Material,Beta Corp,231,237,75,118,90,14,30.31,2727.9,Yes
12/05/2024,Faisalabad Hub,M0028,Material_070,Raw Material,Alpha Ltd,239,264,89,161,64,11,136.61,8743.04,Yes
11/23/2024,Lahore South,M0079,Material_070,Finished Good,Delta Supplies,264,255,72,97,0,7,145.63,0.0,Yes
11/04/2024,Lahore South,M0006,Material_098,Semi-Finished,Gamma Traders,81,79,52,114,205,13,148.87,30518.35,No
12/19/2024,Islamabad East,M0061,Material_065,Raw Material,Alpha Ltd,217,241,53,132,94,9,120.57,11333.58,Yes
11/30/2024,Lahore South,M0020,Material_074,Semi-Finished,Delta Supplies,190,151,95,172,44,14,102.89,4527.16,Yes
11/10/2024,Lahore South,M0078,Material_085,Raw Material,Gamma Traders,261,244,72,140,35,10,58.4,2044.0,Yes
11/02/2024,Faisalabad Hub,M0002,Material_005,Finished Good,Delta Supplies,84,123,68,129,113,11,34.0,3842.0,Yes
12/07/2024,Karachi Central,M0073,Material_002,Finished Good,Gamma Traders,182,219,82,113,80,5,21.06,1684.8,Yes
11/02/2024,Islamabad East,M0037,Material_022,Raw Material,Alpha Ltd,250,206,88,156,194,2,107.06,20769.64,No
10/14/2024,Islamabad East,M0020,Material_057,Finished Good,Delta Supplies,78,80,75,130,110,9,119.86,13184.6,Yes
10/21/2024,Faisalabad Hub,M0026,Material_066,Semi-Finished,Beta Corp,119,62,97,118,179,3,125.7,22500.3,No
11/17/2024,Faisalabad Hub,M0029,Material_074,Raw Material,Delta Supplies,202,149,83,113,75,12,137.93,10344.75,Yes
10/20/2024,Lahore South,M0001,Material_098,Raw Material,Gamma Traders,144,179,49,107,0,2,133.19,0.0,Yes
10/08/2024,Islamabad East,M0035,Material_016,Packaging,Alpha Ltd,71,31,70,123,100,14,149.96,14996.0,Yes
10/07/2024,Karachi Central,M0070,Material_051,Semi-Finished,Gamma Traders,243,195,45,90,97,8,44.17,4284.49,No
12/06/2024,Faisalabad Hub,M0059,Material_039,Finished Good,Delta Supplies,222,194,96,133,255,13,116.86,29799.3,No
10/17/2024,Karachi Central,M0069,Material_086,Semi-Finished,Delta Supplies,118,90,40,80,0,11,92.1,0.0,Yes
11/02/2024,Karachi Central,M0033,Material_076,Finished Good,Beta Corp,268,289,46,101,58,10,46.57,2701.06,Yes
11/17/2024,Islamabad East,M0051,Material_088,Semi-Finished,Alpha Ltd,138,115,97,156,224,12,147.47,33033.28,No
12/15/2024,Islamabad East,M0078,Material_040,Finished Good,Alpha Ltd,121,146,66,137,163,13,135.71,22120.73,No
11/28/2024,Faisalabad Hub,M0012,Material_038,Semi-Finished,Delta Supplies,296,286,60,125,202,13,27.99,5653.98,No
12/25/2024,Islamabad East,M0020,Material_060,Raw Material,Alpha Ltd,178,182,67,130,170,10,13.66,2322.2,No
10/22/2024,Islamabad East,M0053,Material_059,Packaging,Beta Corp,261,229,55,96,105,4,106.37,11168.85,No
10/30/2024,Islamabad East,M0088,Material_010,Finished Good,Gamma Traders,221,193,95,167,283,7,94.58,26766.14,No
11/07/2024,Karachi Central,M0043,Material_099,Raw Material,Alpha Ltd,136,135,85,163,202,8,141.01,28484.02,No
11/20/2024,Faisalabad Hub,M0098,Material_064,Finished Good,Delta Supplies,145,129,62,111,135,11,42.76,5772.6,No
11/23/2024,Lahore South,M0089,Material_063,Raw Material,Gamma Traders,124,99,91,160,299,10,21.81,6521.19,No
10/08/2024,Karachi Central,M0050,Material_049,Packaging,Gamma Traders,216,248,59,121,115,3,46.29,5323.35,Yes
10/27/2024,Islamabad East,M0029,Material_064,Finished Good,Beta Corp,288,229,77,156,237,9,12.65,2998.05,No
10/27/2024,Karachi Central,M0057,Material_032,Raw Material,Delta Supplies,103,58,93,142,195,8,15.02,2928.9,No
10/21/2024,Islamabad East,M0039,Material_007,Raw Material,Alpha Ltd,137,114,64,91,153,5,138.08,21126.24,No
10/30/2024,Islamabad East,M0095,Material_021,Packaging,Delta Supplies,252,207,67,120,9,3,59.28,533.52,Yes
10/28/2024,Karachi Central,M0056,Material_020,Finished Good,Gamma Traders,206,225,44,120,244,9,67.51,16472.44,No
12/03/2024,Faisalabad Hub,M0043,Material_026,Raw Material,Delta Supplies,103,110,95,161,92,12,12.57,1156.44,Yes
12/08/2024,Islamabad East,M0050,Material_068,Finished Good,Alpha Ltd,267,253,60,88,118,6,47.87,5648.66,No
11/30/2024,Faisalabad Hub,M0023,Material_086,Raw Material,Alpha Ltd,65,77,57,127,59,7,122.66,7236.94,Yes
11/17/2024,Lahore South,M0044,Material_015,Finished Good,Beta Corp,148,151,86,125,236,12,96.17,22696.12,No
10/19/2024,Islamabad East,M0038,Material_085,Finished Good,Alpha Ltd,69,13,45,104,225,8,115.53,25994.25,No
10/04/2024,Faisalabad Hub,M0084,Material_079,Packaging,Alpha Ltd,95,118,96,140,189,11,72.61,13723.29,No
11/04/2024,Faisalabad Hub,M0023,Material_086,Packaging,Delta Supplies,244,214,68,106,195,2,53.36,10405.2,No
12/03/2024,Lahore South,M0045,Material_092,Packaging,Delta Supplies,242,218,58,82,111,9,77.59,8612.49,No
11/18/2024,Faisalabad Hub,M0052,Material_014,Semi-Finished,Gamma Traders,176,120,72,102,122,5,55.23,6738.06,No
10/17/2024,Faisalabad Hub,M0080,Material_027,Raw Material,Beta Corp,107,147,40,74,218,14,127.46,27786.28,No
11/13/2024,Lahore South,M0050,Material_040,Raw Material,Delta Supplies,230,183,84,111,137,10,51.67,7078.79,No
10/30/2024,Islamabad East,M0008,Material_058,Raw Material,Alpha Ltd,160,197,42,80,166,2,102.37,16993.42,No
11/15/2024,Faisalabad Hub,M0085,Material_028,Packaging,Gamma Traders,178,215,81,123,110,12,29.18,3209.8,Yes
10/06/2024,Faisalabad Hub,M0001,Material_026,Raw Material,Delta Supplies,130,89,60,106,84,3,106.16,8917.44,Yes
11/06/2024,Faisalabad Hub,M0008,Material_063,Semi-Finished,Beta Corp,243,257,74,133,31,7,137.86,4273.66,Yes
10/24/2024,Karachi Central,M0029,Material_066,Finished Good,Beta Corp,206,204,80,131,144,12,95.2,13708.8,No
11/15/2024,Lahore South,M0096,Material_025,Raw Material,Gamma Traders,133,115,79,124,250,11,88.38,22095.0,No
11/22/2024,Karachi Central,M0005,Material_003,Packaging,Gamma Traders,119,128,42,88,230,12,144.56,33248.8,No
11/29/2024,Lahore South,M0086,Material_072,Packaging,Gamma Traders,57,65,64,102,67,2,97.84,6555.28,Yes
12/02/2024,Islamabad East,M0047,Material_044,Finished Good,Gamma Traders,78,91,84,153,26,5,46.34,1204.84,Yes
12/24/2024,Islamabad East,M0034,Material_097,Finished Good,Gamma Traders,161,147,77,138,12,9,50.93,611.16,Yes
11/01/2024,Faisalabad Hub,M0065,Material_042,Finished Good,Alpha Ltd,228,169,84,132,108,11,108.74,11743.92,Yes
12/26/2024,Lahore South,M0055,Material_099,Finished Good,Alpha Ltd,210,191,94,152,235,6,112.96,26545.6,No
11/02/2024,Islamabad East,M0090,Material_006,Raw Material,Delta Supplies,180,151,59,138,196,14,52.49,10288.04,No
12/06/2024,Lahore South,M0043,Material_039,Finished Good,Beta Corp,237,216,91,151,93,10,58.35,5426.55,Yes
10/18/2024,Islamabad East,M0074,Material_052,Semi-Finished,Alpha Ltd,212,173,83,135,78,12,148.75,11602.5,Yes
10/25/2024,Karachi Central,M0030,Material_023,Raw Material,Alpha Ltd,246,253,84,122,196,12,24.27,4756.92,No
11/23/2024,Islamabad East,M0082,Material_089,Finished Good,Alpha Ltd,268,222,73,129,258,7,66.65,17195.7,No
11/27/2024,Karachi Central,M0017,Material_050,Raw Material,Delta Supplies,157,110,60,98,0,2,18.74,0.0,Yes
12/06/2024,Islamabad East,M0026,Material_043,Semi-Finished,Gamma Traders,253,238,95,147,8,7,124.95,999.6,Yes
11/15/2024,Faisalabad Hub,M0008,Material_019,Raw Material,Delta Supplies,261,289,94,160,44,7,22.93,1008.92,Yes
10/24/2024,Karachi Central,M0047,Material_069,Packaging,Beta Corp,158,143,87,122,199,14,104.36,20767.64,No
11/01/2024,Islamabad East,M0076,Material_051,Semi-Finished,Beta Corp,69,92,62,104,173,7,17.91,3098.43,No
11/16/2024,Faisalabad Hub,M0091,Material_011,Packaging,Beta Corp,122,109,45,71,61,9,104.2,6356.2,Yes
12/25/2024,Karachi Central,M0072,Material_012,Packaging,Beta Corp,216,180,90,135,7,7,128.03,896.21,Yes
10/23/2024,Faisalabad Hub,M0089,Material_074,Raw Material,Alpha Ltd,53,51,92,143,75,6,65.84,4938.0,Yes
12/05/2024,Lahore South,M0046,Material_008,Finished Good,Alpha Ltd,292,294,52,83,161,12,83.1,13379.1,No
10/27/2024,Lahore South,M0068,Material_024,Raw Material,Delta Supplies,295,275,88,115,44,3,66.22,2913.68,Yes
10/02/2024,Karachi Central,M0033,Material_092,Packaging,Gamma Traders,68,67,62,86,225,5,52.07,11715.75,No
12/29/2024,Islamabad East,M0001,Material_041,Finished Good,Beta Corp,151,111,48,109,117,11,122.46,14327.82,No
10/17/2024,Karachi Central,M0019,Material_036,Finished Good,Delta Supplies,268,230,56,103,80,6,48.08,3846.4,Yes
11/02/2024,Faisalabad Hub,M0031,Material_085,Packaging,Alpha Ltd,222,245,41,113,152,11,111.21,16903.92,No
10/09/2024,Islamabad East,M0080,Material_072,Semi-Finished,Alpha Ltd,220,238,58,82,0,5,38.87,0.0,Yes
11/12/2024,Lahore South,M0014,Material_055,Finished Good,Gamma Traders,190,177,58,126,0,3,44.98,0.0,Yes
11/17/2024,Islamabad East,M0053,Material_009,Finished Good,Gamma Traders,190,201,95,140,64,8,57.1,3654.4,Yes
11/08/2024,Lahore South,M0048,Material_047,Packaging,Gamma Traders,237,180,46,70,0,11,92.48,0.0,Yes
11/11/2024,Islamabad East,M0069,Material_015,Raw Material,Delta Supplies,234,217,93,134,179,11,73.62,13177.98,No
10/26/2024,Islamabad East,M0090,Material_048,Raw Material,Alpha Ltd,135,108,81,115,0,3,114.32,0.0,Yes
11/19/2024,Islamabad East,M0062,Material_082,Raw Material,Alpha Ltd,269,243,81,113,156,2,39.9,6224.4,No
10/25/2024,Faisalabad Hub,M0092,Material_042,Packaging,Gamma Traders,101,71,98,145,10,6,11.49,114.9,Yes
10/24/2024,Faisalabad Hub,M0066,Material_060,Raw Material,Beta Corp,160,183,59,111,37,13,118.72,4392.64,Yes
10/13/2024,Karachi Central,M0064,Material_084,Semi-Finished,Gamma Traders,230,264,48,110,252,14,125.03,31507.56,No
11/29/2024,Karachi Central,M0070,Material_070,Raw Material,Delta Supplies,158,159,56,98,28,2,18.33,513.24,Yes
10/07/2024,Lahore South,M0063,Material_012,Raw Material,Gamma Traders,135,106,66,118,91,2,95.53,8693.23,Yes
11/26/2024,Faisalabad Hub,M0073,Material_002,Finished Good,Gamma Traders,92,47,86,148,16,2,62.95,1007.2,Yes
11/05/2024,Lahore South,M0033,Material_007,Packaging,Delta Supplies,260,236,41,78,29,7,121.15,3513.35,Yes
11/14/2024,Karachi Central,M0041,Material_080,Raw Material,Gamma Traders,249,222,75,144,70,10,132.42,9269.4,Yes
10/20/2024,Lahore South,M0089,Material_003,Finished Good,Alpha Ltd,293,285,58,130,208,11,129.14,26861.12,No
12/04/2024,Karachi Central,M0048,Material_003,Raw Material,Beta Corp,249,238,56,105,251,14,118.81,29821.31,No
10/08/2024,Faisalabad Hub,M0013,Material_027,Semi-Finished,Gamma Traders,91,103,44,89,141,12,47.67,6721.47,No
10/16/2024,Islamabad East,M0073,Material_040,Semi-Finished,Delta Supplies,139,159,78,113,23,13,123.66,2844.18,Yes
10/14/2024,Faisalabad Hub,M0077,Material_033,Raw Material,Beta Corp,289,240,57,89,0,2,84.69,0.0,Yes
12/15/2024,Lahore South,M0031,Material_092,Finished Good,Delta Supplies,164,127,92,150,70,6,17.39,1217.3,Yes
12/26/2024,Lahore South,M0075,Material_001,Packaging,Beta Corp,75,107,93,145,97,10,73.97,7175.09,Yes
10/15/2024,Faisalabad Hub,M0068,Material_008,Packaging,Beta Corp,200,194,98,143,149,10,141.9,21143.1,No
12/05/2024,Faisalabad Hub,M0098,Material_032,Raw Material,Gamma Traders,92,57,46,113,156,2,134.3,20950.8,No
11/01/2024,Karachi Central,M0004,Material_048,Raw Material,Alpha Ltd,126,125,56,76,200,9,24.32,4864.0,No
12/26/2024,Lahore South,M0019,Material_004,Finished Good,Gamma Traders,205,195,78,146,181,2,114.18,20666.58,No
12/02/2024,Lahore South,M0070,Material_094,Raw Material,Delta Supplies,186,171,75,132,94,9,122.81,11544.14,Yes
12/25/2024,Faisalabad Hub,M0098,Material_070,Packaging,Delta Supplies,69,59,79,100,114,2,47.99,5470.86,No
11/20/2024,Islamabad East,M0082,Material_019,Packaging,Beta Corp,233,204,84,152,62,13,76.03,4713.86,Yes
10/25/2024,Lahore South,M0013,Material_032,Packaging,Beta Corp,260,281,43,68,9,6,109.54,985.86,Yes
11/27/2024,Islamabad East,M0023,Material_009,Raw Material,Alpha Ltd,289,242,77,142,277,9,71.47,19797.19,No
12/02/2024,Faisalabad Hub,M0083,Material_012,Raw Material,Gamma Traders,88,102,64,133,135,7,25.79,3481.65,No
12/01/2024,Faisalabad Hub,M0075,Material_011,Semi-Finished,Delta Supplies,228,231,44,101,175,10,108.82,19043.5,No
10/22/2024,Karachi Central,M0001,Material_046,Raw Material,Beta Corp,61,30,69,130,106,2,137.63,14588.78,Yes
11/27/2024,Lahore South,M0088,Material_016,Raw Material,Alpha Ltd,256,232,51,94,136,10,101.35,13783.6,No
11/27/2024,Islamabad East,M0054,Material_001,Raw Material,Delta Supplies,272,259,43,80,44,2,118.33,5206.52,Yes
12/25/2024,Karachi Central,M0071,Material_063,Packaging,Beta Corp,232,249,63,109,220,11,60.17,13237.4,No
11/18/2024,Lahore South,M0089,Material_021,Finished Good,Delta Supplies,255,249,68,128,0,11,35.65,0.0,Yes
11/21/2024,Karachi Central,M0085,Material_030,Raw Material,Alpha Ltd,60,30,48,75,0,4,99.99,0.0,Yes
11/11/2024,Faisalabad Hub,M0015,Material_013,Raw Material,Alpha Ltd,203,161,43,90,31,2,55.89,1732.59,Yes
12/09/2024,Lahore South,M0065,Material_034,Raw Material,Delta Supplies,91,46,90,119,107,4,130.41,13953.87,Yes
10/15/2024,Karachi Central,M0076,Material_004,Semi-Finished,Gamma Traders,204,182,63,99,0,13,27.17,0.0,Yes
11/23/2024,Karachi Central,M0071,Material_028,Semi-Finished,Delta Supplies,60,44,53,127,171,12,70.68,12086.28,No
11/29/2024,Islamabad East,M0015,Material_095,Packaging,Beta Corp,87,73,44,92,147,14,65.54,9634.38,No
10/08/2024,Karachi Central,M0021,Material_059,Semi-Finished,Gamma Traders,147,128,57,134,270,3,141.33,38159.1,No
11/22/2024,Lahore South,M0019,Material_027,Semi-Finished,Beta Corp,220,162,81,106,48,3,31.44,1509.12,Yes
11/29/2024,Lahore South,M0060,Material_069,Finished Good,Delta Supplies,68,47,96,129,123,10,11.38,1399.74,Yes
10/05/2024,Islamabad East,M0093,Material_025,Finished Good,Gamma Traders,241,252,58,99,34,9,43.33,1473.22,Yes
12/07/2024,Lahore South,M0089,Material_003,Raw Material,Beta Corp,183,131,51,124,126,2,124.84,15729.84,No
10/06/2024,Faisalabad Hub,M0033,Material_097,Raw Material,Delta Supplies,223,242,57,82,0,13,39.31,0.0,Yes
11/16/2024,Lahore South,M0049,Material_068,Raw Material,Delta Supplies,165,131,56,101,210,5,43.72,9181.2,No
11/24/2024,Lahore South,M0096,Material_025,Raw Material,Gamma Traders,279,236,69,127,140,14,28.19,3946.6,No
11/09/2024,Karachi Central,M0035,Material_020,Finished Good,Delta Supplies,162,174,63,94,0,2,110.16,0.0,Yes
11/21/2024,Karachi Central,M0044,Material_034,Packaging,Alpha Ltd,219,219,50,104,102,2,19.68,2007.36,Yes
10/16/2024,Lahore South,M0090,Material_026,Raw Material,Beta Corp,269,268,74,107,161,13,56.37,9075.57,No
10/13/2024,Islamabad East,M0011,Material_005,Semi-Finished,Beta Corp,114,57,62,103,70,13,49.55,3468.5,Yes
10/30/2024,Karachi Central,M0099,Material_099,Packaging,Delta Supplies,148,124,56,126,64,5,87.72,5614.08,Yes
10/19/2024,Islamabad East,M0072,Material_061,Raw Material,Delta Supplies,281,291,40,82,85,3,112.26,9542.1,No
10/17/2024,Lahore South,M0078,Material_092,Raw Material,Alpha Ltd,121,132,54,121,137,4,84.6,11590.2,No
12/02/2024,Lahore South,M0074,Material_093,Packaging,Gamma Traders,236,259,71,97,107,12,140.34,15016.38,No
10/19/2024,Faisalabad Hub,M0066,Material_009,Semi-Finished,Delta Supplies,101,125,99,158,277,10,143.2,39666.4,No
11/27/2024,Karachi Central,M0046,Material_050,Raw Material,Delta Supplies,167,170,48,117,22,3,60.61,1333.42,Yes
11/24/2024,Lahore South,M0009,Material_006,Raw Material,Delta Supplies,224,251,54,98,175,5,118.88,20804.0,No
12/29/2024,Faisalabad Hub,M0003,Material_083,Packaging,Delta Supplies,169,123,67,99,97,2,113.43,11002.71,Yes
12/29/2024,Karachi Central,M0085,Material_060,Raw Material,Beta Corp,56,8,63,103,0,3,135.02,0.0,Yes
12/01/2024,Lahore South,M0026,Material_044,Semi-Finished,Delta Supplies,60,22,99,159,152,6,72.71,11051.92,Yes
10/23/2024,Lahore South,M0072,Material_011,Packaging,Beta Corp,152,137,74,103,190,11,84.27,16011.3,No
10/09/2024,Karachi Central,M0048,Material_066,Raw Material,Delta Supplies,110,129,61,133,254,2,68.21,17325.34,No
10/12/2024,Karachi Central,M0066,Material_047,Finished Good,Gamma Traders,117,91,66,140,109,12,129.05,14066.45,Yes
10/01/2024,Karachi Central,M0070,Material_073,Semi-Finished,Alpha Ltd,202,187,58,136,205,8,42.16,8642.8,No
11/27/2024,Lahore South,M0028,Material_085,Raw Material,Gamma Traders,189,211,84,112,0,5,43.56,0.0,Yes
10/01/2024,Lahore South,M0093,Material_088,Packaging,Delta Supplies,203,187,51,85,209,7,62.16,12991.44,No
11/03/2024,Faisalabad Hub,M0026,Material_098,Semi-Finished,Delta Supplies,151,148,59,130,45,9,42.25,1901.25,Yes
11/17/2024,Islamabad East,M0025,Material_086,Semi-Finished,Delta Supplies,159,102,40,61,0,14,88.54,0.0,Yes
12/28/2024,Karachi Central,M0012,Material_003,Raw Material,Gamma Traders,189,195,60,104,39,7,28.83,1124.37,Yes
10/01/2024,Lahore South,M0005,Material_076,Finished Good,Delta Supplies,220,260,88,120,93,3,54.83,5099.19,Yes
10/16/2024,Lahore South,M0098,Material_092,Packaging,Gamma Traders,100,89,84,137,188,2,137.88,25921.44,No
11/30/2024,Karachi Central,M0048,Material_030,Raw Material,Beta Corp,166,122,40,110,109,9,67.29,7334.61,Yes
12/03/2024,Islamabad East,M0037,Material_090,Raw Material,Alpha Ltd,214,162,49,126,21,9,114.75,2409.75,Yes
12/02/2024,Karachi Central,M0079,Material_021,Raw Material,Alpha Ltd,95,66,86,139,101,10,25.88,2613.88,Yes
12/08/2024,Islamabad East,M0044,Material_028,Finished Good,Gamma Traders,102,106,98,152,92,7,44.66,4108.72,Yes
10/22/2024,Lahore South,M0100,Material_090,Raw Material,Beta Corp,137,113,98,155,145,13,123.03,17839.35,Yes
12/06/2024,Islamabad East,M0015,Material_062,Raw Material,Gamma Traders,257,247,71,93,231,2,116.82,26985.42,No
12/15/2024,Faisalabad Hub,M0043,Material_033,Finished Good,Beta Corp,170,210,78,139,206,10,64.06,13196.36,No
10/26/2024,Lahore South,M0048,Material_085,Raw Material,Delta Supplies,62,12,99,174,100,13,143.62,14362.0,Yes
10/16/2024,Faisalabad Hub,M0087,Material_035,Raw Material,Beta Corp,138,158,61,139,140,14,137.49,19248.6,No
11/20/2024,Karachi Central,M0070,Material_052,Raw Material,Beta Corp,174,162,57,82,170,4,144.72,24602.4,No
