,Project Code,PQ #,PO / SO #,Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,PQ First Sent to Client Date,PO Sent to Vendor Date,Scheduled Delivery Date,Delivered to Client Date,Delivery Recorded Date,Product Group,Sub Classification,Vendor,Item Description,Molecule/Test Type,Brand,Dosage,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD)
1778,117-ET-T01,Pre-PQ Process,SO-22040,Ethiopia,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,04-03-09,04-03-09,04-03-09,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,27588,325538.4,11.8,0.2,"Aurobindo Unit III, India",Yes,3146,14538.36,638.06
1779,112-NG-T01,Pre-PQ Process,SO-20960,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,Pre-PQ Process,N/A - From RDC,19-03-09,19-03-09,19-03-09,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60,11608,82648.96,7.12,0.12,"Cipla, Goa, India",Yes,1871,11492.86,161.99
1780,151-NG-T01,Pre-PQ Process,SO-21781,Nigeria,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,24-03-09,24-03-09,24-03-09,ARV,Adult,SCMS from RDC,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg [Truvada], tablets, 30 Tabs",Emtricitabine/Tenofovir Disoproxil Fumarate,Truvada,300/200mg,Tablet - FDC,30,143,3753.75,26.25,0.88,"Aspen-OSD, Port Elizabeth, SA",Yes,14,6443.61,7.36
1781,151-NG-T01,Pre-PQ Process,SO-21785,Nigeria,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,24-03-09,24-03-09,24-03-09,ARV,Adult,SCMS from RDC,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg [Truvada], tablets, 30 Tabs",Emtricitabine/Tenofovir Disoproxil Fumarate,Truvada,300/200mg,Tablet - FDC,30,326,8557.5,26.25,0.88,"Aspen-OSD, Port Elizabeth, SA",Yes,35,6443.61,16.77
1782,151-NG-T01,Pre-PQ Process,SO-21784,Nigeria,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,24-03-09,24-03-09,24-03-09,ARV,Adult,SCMS from RDC,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg [Truvada], tablets, 30 Tabs",Emtricitabine/Tenofovir Disoproxil Fumarate,Truvada,300/200mg,Tablet - FDC,30,873,22916.25,26.25,0.88,"Aspen-OSD, Port Elizabeth, SA",Yes,76,6443.61,44.92
1783,107-RW-T01,Pre-PQ Process,SO-17230,Rwanda,PMO - US,From RDC,N/A - From RDC,Truck,Pre-PQ Process,N/A - From RDC,28-10-08,28-10-08,28-10-08,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,288,921.6,3.2,0.05,"Aurobindo Unit III, India",Yes,28,896.26,1.81
1784,123-NG-T01,Pre-PQ Process,SO-19380,Nigeria,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,19-01-09,19-01-09,19-01-09,ARV,Adult,SCMS from RDC,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg [Truvada], tablets, 30 Tabs",Emtricitabine/Tenofovir Disoproxil Fumarate,Truvada,300/200mg,Tablet - FDC,30,32696,858270,26.25,0.88,"Aspen-OSD, Port Elizabeth, SA",Yes,2873,7363.73,1682.21
1786,112-NG-T01,Pre-PQ Process,SO-20961,Nigeria,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,02-04-09,02-04-09,02-04-09,ARV,Adult,SCMS from RDC,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg [Truvada], tablets, 30 Tabs",Emtricitabine/Tenofovir Disoproxil Fumarate,Truvada,300/200mg,Tablet - FDC,30,50,1312.5,26.25,0.88,"Aspen-OSD, Port Elizabeth, SA",Yes,5,286.65,2.57
1787,123-NG-T01,Pre-PQ Process,SO-22832,Nigeria,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,30-04-09,30-04-09,30-04-09,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,5754,18412.8,3.2,0.05,Hetero Unit III Hyderabad IN,Yes,318,3515.96,36.09
1790,106-HT-T01,Pre-PQ Process,SO-24840,Haiti,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,22-05-09,22-05-09,22-05-09,ARV,Adult,SCMS from RDC,"Stavudine 30mg, capsules, 60 Caps",Stavudine,Generic,30mg,Capsule,60,4860,7241.4,1.49,0.02,"Aurobindo Unit III, India",Yes,2034,23441.88,14.19
1791,114-UG-T01,Pre-PQ Process,SO-26161,Uganda,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,01-06-09,01-06-09,01-06-09,ARV,Adult,SCMS from RDC,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,685,6000.6,8.76,0.15,Mylan (formerly Matrix) Nashik,Yes,67,1122.87,11.76
1792,110-ZM-T01,Pre-PQ Process,SO-17611,Zambia,PMO - US,From RDC,N/A - From RDC,Truck,Pre-PQ Process,N/A - From RDC,08-06-09,08-06-09,08-06-09,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,28454,312994,11,0.37,"Aurobindo Unit III, India",Yes,3279,8288.78,613.47
1796,114-UG-T01,Pre-PQ Process,SO-30111,Uganda,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,23-06-09,23-06-09,23-06-09,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,10371,117710.85,11.35,0.19,Mylan (formerly Matrix) Nashik,Yes,1273,7493.5,230.71
1797,153-NG-T01,Pre-PQ Process,SO-31170,Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,Pre-PQ Process,N/A - From RDC,16-06-09,16-06-09,16-06-09,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,24,72,3,0.05,"Aurobindo Unit III, India",Yes,21,7329.83,0.14
1798,106-HT-T01,Pre-PQ Process,SO-24833,Haiti,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,18-06-09,18-06-09,18-06-09,ARV,Pediatric,SCMS from RDC,"Nevirapine 10mg/ml, oral suspension, Bottle, 240 ml",Nevirapine,Generic,10mg/ml,Oral suspension,240,3035,5827.2,1.92,0.01,"Aurobindo Unit III, India",Yes,1133,7789.85,11.42
1800,114-UG-T01,Pre-PQ Process,SO-31450,Uganda,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,23-06-09,23-06-09,23-06-09,ARV,Adult,SCMS from RDC,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,6000,52560,8.76,0.15,Mylan (formerly Matrix) Nashik,Yes,486,3338.35,103.02
1844,112-NG-T01,Pre-PQ Process,SO-342,Nigeria,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,17-04-07,17-04-07,17-04-07,ARV,Adult,SCMS from RDC,"Lamivudine/Zidovudine+Nevirapine 150/300+200mg, tablets, co-blister, 60+60 Tabs",Lamivudine/Zidovudine+Nevirapine,Generic,150/300+200mg,Tablet - FDC + co-blister,120,2703,55411.5,20.5,0.17,"Aspen-OSD, Port Elizabeth, SA",Yes,401,2208,45.57
1847,100-CI-T01,Pre-PQ Process,SO-391,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,04-05-07,04-05-07,04-05-07,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,10000,162500,16.25,0.54,"Aurobindo Unit III, India",Yes,910,3026,45.57
1851,100-CI-T01,Pre-PQ Process,SO-439,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,30-04-07,30-04-07,30-04-07,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60,9000,67500,7.5,0.12,"Cipla, Goa, India",Yes,992,3205,45.57
1853,100-CI-T01,Pre-PQ Process,SO-393,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,04-05-07,04-05-07,04-05-07,ARV,Adult,SCMS from RDC,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,10000,102500,10.25,0.17,"Aurobindo Unit III, India",Yes,963,3142,45.57
1854,100-CI-T01,Pre-PQ Process,SO-440,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,30-04-07,30-04-07,30-04-07,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60,1000,7500,7.5,0.12,"Cipla, Goa, India",Yes,104,1458,45.57
1855,100-CI-T01,Pre-PQ Process,SO-435,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,30-04-07,30-04-07,30-04-07,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60,9000,67500,7.5,0.12,"Cipla, Goa, India",Yes,969,3155,45.57
1857,110-ZM-T01,Pre-PQ Process,SO-615,Zambia,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,26-06-07,26-06-07,26-06-07,ARV,Pediatric,SCMS from RDC,"Efavirenz 200mg, capsule, 90 Caps",Efavirenz,Generic,200mg,Capsule,90,3436,58240.2,16.95,0.19,"Aurobindo Unit III, India",Yes,395,1848.37,93.18
1859,109-TZ-T01,Pre-PQ Process,SO-632,Tanzania,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,06-07-07,06-07-07,06-07-07,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,28665,466092.9,16.26,0.54,"Aurobindo Unit III, India",Yes,2515,6834,45.57
1860,112-NG-T01,Pre-PQ Process,SO-555,Nigeria,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,26-06-07,26-06-07,26-06-07,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Stavudine 150/200/40mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,150/200/40mg,Tablet - FDC,60,1370,10549,7.7,0.13,"Cipla, Goa, India",Yes,142,1489.52,45.57
1863,100-ZW-T01,Pre-PQ Process,SO-720,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Truck,Pre-PQ Process,N/A - From RDC,17-08-07,17-08-07,17-08-07,ARV,Adult,SCMS from RDC,"Lamivudine/Stavudine 150/30mg, tablets, 30 Tabs",Lamivudine/Stavudine,Generic,150/30mg,Tablet - FDC,30,6400,12800,2,0.07,"Cipla, Goa, India",Yes,570,5348,20.48
1866,109-TZ-T01,Pre-PQ Process,SO-769,Tanzania,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,22-08-07,22-08-07,22-08-07,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,11807,42150.99,3.57,0.06,"Aurobindo Unit III, India",Yes,1802,3267,67.44
1868,110-ZM-T01,Pre-PQ Process,SO-751,Zambia,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,07-08-07,07-08-07,07-08-07,ARV,Pediatric,SCMS from RDC,"Abacavir 20mg/ml, oral solution, Bottle, 240 ml",Abacavir,Generic,20mg/ml,Oral solution,240,500,8250,16.5,0.07,"Aurobindo Unit III, India",Yes,178,1105.9,13.2
1869,109-TZ-T01,Pre-PQ Process,SO-445,Tanzania,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,30-07-07,30-07-07,30-07-07,ARV,Adult,SCMS from RDC,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,10977,117234.36,10.68,0.18,"Aurobindo Unit III, India",Yes,957,3243,187.57
1870,110-ZM-T01,Pre-PQ Process,SO-315,Zambia,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,09-07-07,09-07-07,09-07-07,ARV,Adult,SCMS from RDC,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg [Truvada], tablets, 30 Tabs",Emtricitabine/Tenofovir Disoproxil Fumarate,Truvada,300/200mg,Tablet - FDC,30,12000,315000,26.25,0.88,Gilead(Nycomed) Oranienburg DE,Yes,1005,4407.26,504
1871,109-TZ-T01,Pre-PQ Process,SO-633,Tanzania,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,30-07-07,30-07-07,30-07-07,ARV,Adult,SCMS from RDC,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,1155,47470.5,41.1,0.34,ABBVIE Ludwigshafen Germany,Yes,255,1388,75.95
1876,109-TZ-T01,Pre-PQ Process,SO-771,Tanzania,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,26-09-07,26-09-07,26-09-07,ARV,Adult,SCMS from RDC,"Abacavir 300mg, tablets, 60 Tabs",Abacavir,Generic,300mg,Tablet,60,7661,274263.8,35.8,0.6,"Aurobindo Unit III, India",Yes,750,3901.78,438.82
1879,104-CI-T01,Pre-PQ Process,SO-589,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,24-08-07,24-08-07,24-08-07,ARV,Pediatric,SCMS from RDC,"Efavirenz 50mg [Stocrin/Sustiva], capsule, 30 Caps",Efavirenz,Stocrin/Sustiva,50mg,Capsule,30,485,1682.95,3.47,0.12,"MSD, Haarlem, NL",Yes,285,1786,2.69
1882,100-ZW-T01,Pre-PQ Process,SO-718,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Truck,Pre-PQ Process,N/A - From RDC,28-08-07,28-08-07,28-08-07,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60,125000,925000,7.4,0.12,"Cipla, Goa, India",Yes,12779,41772.09,1480
1883,113-ZW-T01,Pre-PQ Process,SO-292,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,28-08-07,28-08-07,28-08-07,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,1629,5978.43,3.67,0.06,"Aurobindo Unit III, India",Yes,152,912.45,9.57
1884,110-ZM-T01,Pre-PQ Process,SO-908,Zambia,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,29-08-07,29-08-07,29-08-07,ARV,Adult,SCMS from RDC,"Stavudine 20mg, capsules, 60 Caps",Stavudine,Generic,20mg,Capsule,60,1119,1958.25,1.75,0.03,"Aurobindo Unit III, India",Yes,1581,5663,3.13
1889,100-ZW-T01,Pre-PQ Process,SO-705,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Truck,Pre-PQ Process,N/A - From RDC,20-09-07,20-09-07,20-09-07,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,1860,23101.2,12.42,0.41,"Cipla, Goa, India",Yes,3951,13788.25,36.96
1894,104-CI-T01,Pre-PQ Process,SO-1105,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,22-11-07,22-11-07,22-11-07,ARV,Pediatric,SCMS from RDC,"Zidovudine 10mg/ml, oral solution, Bottle, 240 ml",Zidovudine,Generic,10mg/ml,Oral solution,240,6777,14570.55,2.15,0.01,"Aurobindo Unit III, India",Yes,2510,23907.05,23.31
1895,104-CI-T01,Pre-PQ Process,SO-1146,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,14-12-07,14-12-07,14-12-07,ARV,Adult,SCMS from RDC,"Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Viread,300mg,Tablet,30,2989,50813,17,0.57,Gilead(Nycomed) Oranienburg DE,Yes,186,2056.98,81.3
1896,110-ZM-T01,Pre-PQ Process,SO-1030,Zambia,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,13-11-07,13-11-07,13-11-07,ARV,Adult,SCMS from RDC,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,12240,503064,41.1,0.34,ABBVIE (Abbott) Logis. UK,Yes,2678,9008.48,804.9
1899,110-ZM-T01,Pre-PQ Process,SO-995,Zambia,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,12-11-07,12-11-07,12-11-07,ARV,Pediatric,SCMS from RDC,"Lamivudine 10mg/ml, oral solution, Bottle, 240 ml",Lamivudine,Generic,10mg/ml,Oral solution,240,13124,25854.28,1.97,0.01,"Aurobindo Unit III, India",Yes,5309,17358.74,41.37
1901,100-ZW-T01,Pre-PQ Process,SO-1150,Zimbabwe,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,16-11-07,16-11-07,16-11-07,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60,22240,164576,7.4,0.12,"Cipla, Goa, India",Yes,2262,7364.52,263.32
1905,106-HT-T01,Pre-PQ Process,SO-1286,Haiti,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,05-12-07,05-12-07,05-12-07,ARV,Adult,SCMS from RDC,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,100,4110,41.1,0.34,ABBVIE Ludwigshafen Germany,Yes,285,2523.6,6.58
1910,117-ET-T01,Pre-PQ Process,SO-1009,Ethiopia,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,20-12-07,20-12-07,20-12-07,ARV,Pediatric,SCMS from RDC,"Nevirapine 10mg/ml, oral suspension, Bottle, 240 ml",Nevirapine,Generic,10mg/ml,Oral suspension,240,11168,69241.6,6.2,0.03,"Aurobindo Unit III, India",Yes,4583,14554.5,110.79
1911,110-ZM-T01,Pre-PQ Process,SO-1328,Zambia,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,02-01-08,02-01-08,02-01-08,ARV,Pediatric,SCMS from RDC,"Efavirenz 200mg, capsule, 90 Caps",Efavirenz,Generic,200mg,Capsule,90,672,10752,16,0.18,"Aurobindo Unit III, India",Yes,128,845,17.2
1912,112-NG-T01,Pre-PQ Process,SO-1494,Nigeria,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,17-12-07,17-12-07,17-12-07,ARV,Pediatric,SCMS from RDC,"Efavirenz 200mg, capsule, 90 Caps",Efavirenz,Generic,200mg,Capsule,90,400,6400,16,0.18,"Aurobindo Unit III, India",Yes,48,1260.1,10.24
1914,106-HT-T01,Pre-PQ Process,SO-1484,Haiti,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,10-12-07,10-12-07,10-12-07,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,35000,434700,12.42,0.41,"Strides, Bangalore, India.",Yes,2153,24448,695.52
1915,117-ET-T01,Pre-PQ Process,SO-1531,Ethiopia,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,20-12-07,20-12-07,20-12-07,ARV,Pediatric,SCMS from RDC,"Zidovudine 10mg/ml, oral solution, Bottle, 240 ml",Zidovudine,Generic,10mg/ml,Oral solution,240,3286,7064.9,2.15,0.01,"Aurobindo Unit III, India",Yes,1215,8586,11.3
1918,107-RW-T01,Pre-PQ Process,SO-1516,Rwanda,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,31-01-08,31-01-08,31-01-08,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,37258,462744.36,12.42,0.41,"Aurobindo Unit III, India",Yes,3195,36417.89,740.39
1922,110-ZM-T01,Pre-PQ Process,SO-1675,Zambia,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,21-01-08,26-11-07,26-11-07,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,44135,548156.7,12.42,0.41,"Aurobindo Unit III, India",Yes,4082,17600.24,877.05
1923,104-CI-T01,Pre-PQ Process,SO-1544,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,15-01-08,15-01-08,15-01-08,ARV,Pediatric,SCMS from RDC,"Nevirapine 10mg/ml, oral suspension, Bottle, 240 ml",Nevirapine,Generic,10mg/ml,Oral suspension,240,965,1852.8,1.92,0.01,"Aurobindo Unit III, India",Yes,344,1729,2.96
1924,104-CI-T01,Pre-PQ Process,SO-1144,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,28-12-07,15-01-08,15-01-08,ARV,Pediatric,SCMS from RDC,"Nevirapine 10mg/ml, oral suspension, Bottle, 240 ml",Nevirapine,Generic,10mg/ml,Oral suspension,240,5581,10715.52,1.92,0.01,"Aurobindo Unit III, India",Yes,1988,6146,17.14
1925,117-ET-T01,Pre-PQ Process,SO-1536,Ethiopia,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,01-02-08,01-02-08,01-02-08,ARV,Adult,SCMS from RDC,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,48671,147959.84,3.04,0.05,"Ranbaxy, Paonta Shahib, India",Yes,2533,9187.8,236.74
1926,114-UG-T01,Pre-PQ Process,SO-1304,Uganda,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,11-03-08,11-03-08,11-03-08,ARV,Adult,SCMS from RDC,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,3364,41780.88,12.42,0.41,"Aurobindo Unit III, India",Yes,369,1902.9,66.85
1928,117-ET-T01,Pre-PQ Process,SO-1528,Ethiopia,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,29-01-08,29-01-08,29-01-08,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,55560,188904,3.4,0.06,"Aurobindo Unit III, India",Yes,5181,17975.21,302.25
1935,112-NG-T01,Pre-PQ Process,SO-2351,Nigeria,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,18-04-08,18-04-08,18-04-08,ARV,Adult,SCMS from RDC,"Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Viread,300mg,Tablet,30,109,1853,17,0.57,Gilead(Nycomed) Oranienburg DE,Yes,422,2812.3,2.96
1937,106-HT-T01,Pre-PQ Process,SO-2596,Haiti,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,18-06-08,18-06-08,18-06-08,ARV,Adult,SCMS from RDC,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,240,9864,41.1,0.34,ABBVIE Ludwigshafen Germany,Yes,52,1422.32,15.78
1939,131-NG-T01,Pre-PQ Process,SO-2578,Nigeria,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,14-05-08,14-05-08,14-05-08,ARV,Adult,SCMS from RDC,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg [Truvada], tablets, 30 Tabs",Emtricitabine/Tenofovir Disoproxil Fumarate,Truvada,300/200mg,Tablet - FDC,30,3359,88173.75,26.25,0.88,"Aspen-OSD, Port Elizabeth, SA",Yes,300,2204,141.08
1940,131-NG-T01,Pre-PQ Process,SO-2579,Nigeria,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,20-05-08,20-05-08,20-05-08,ARV,Adult,SCMS from RDC,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg [Truvada], tablets, 30 Tabs",Emtricitabine/Tenofovir Disoproxil Fumarate,Truvada,300/200mg,Tablet - FDC,30,641,16826.25,26.25,0.88,"Aspen-OSD, Port Elizabeth, SA",Yes,58,1110.5,26.92
1941,110-ZM-T01,Pre-PQ Process,SO-2475,Zambia,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,29-05-08,29-05-08,29-05-08,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,50000,170000,3.4,0.06,"Aurobindo Unit III, India",Yes,4733,6002.19,272
1942,131-NG-T01,Pre-PQ Process,SO-2664,Nigeria,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,27-05-08,27-05-08,27-05-08,ARV,Adult,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,16610,220580.8,13.28,0.22,"Aurobindo Unit III, India",Yes,1832,11815.12,352.93
